business_name,pan,gstin,address,pincode,district,state,registration_date,last_activity_date,department
Apex Technologies Pvt Ltd,,16EOYEY1845I9ZI,"491
Dhillon Road",019370,Kolkata,West Bengal,2016-12-03,2026-02-18,Finance
Apex Technologies Pvt Ltd,PXFZT2102M,13PXFZT2102M8ZU,"779
Chaudhary Marg",994070,Kolkata,West Bengal,2019-11-14,2026-02-23,Healthcare
Apex Technologies Solutions,YTZTT2539J,08YTZTT2539J3ZH,"63/68
Sachdev Road",225994,Hyderabad,Telangana,2020-07-07,2026-02-25,Construction
BluePeak Systems Industries,XMDPD7317I,38XMDPD7317I6ZU,"313, Swaminathan Zila",668298,Warangal,Telangana,2016-08-08,2026-01-25,Services
BluePeak Systems Pvt Ltd,LZCHR9947N,,"396
Gokhale Nagar",980652,Warangal,Telangana,2017-05-17,2023-12-17,Healthcare
BluePeak Systems Pvt Ltd,BCFGI2864Y,13BCFGI2864Y6ZK,"H.No. 86
Ray Ganj",022915,Kolkata,West Bengal,2019-04-05,2022-08-12,Food & Beverage
Crescent Labs Solutions,BTPNZ2745R,24BTPNZ2745R7ZU,"H.No. 239, Brahmbhatt Circle",798341,Vadodara,Gujarat,2011-06-24,2026-02-22,Logistics
Fusion Foods LLP,BQPLU0512F,22BQPLU0512F1ZV,"H.No. 204
Tiwari Path",914012,New Delhi,Delhi,2016-03-03,2026-01-26,Construction
Matrix Commerce LLP,XKJLK9300W,32XKJLK9300W1ZP,"80
Gandhi Street",063621,New Delhi,Delhi,2012-07-28,2024-05-02,Services
Matrix Commerce LLP,YPWMJ2810Z,27YPWMJ2810Z8ZB,"H.No. 10
Kala Nagar",350664,New Delhi,Delhi,2017-06-17,2025-09-24,Manufacturing
NextGen Tech LLP,EWFTT6570A,25EWFTT6570A8ZC,"96/779
Tata Chowk",799685,Jaipur,Rajasthan,2019-12-04,2026-02-06,Services
NextGen Tech Pvt Ltd,CXTTE0866P,22CXTTE0866P3ZI,"H.No. 27, Ravel",707274,Nagpur,Maharashtra,2014-06-11,2016-11-30,Manufacturing
Nova Retail Enterprises,RZYQW4580L,17RZYQW4580L6ZK,"591, Badami Marg",623543,Surat,Gujarat,2020-05-15,2026-01-20,Manufacturing
Nova Retail Enterprises,,,"H.No. 375, Singhal Chowk",380397,Kolkata,West Bengal,2017-04-06,2025-11-11,Healthcare
Nova Retail LLP,RMVBF6869S,05RMVBF6869S2ZR,"H.No. 906
Deshmukh Zila",744688,Siliguri,West Bengal,2021-09-07,2024-04-23,Education
Nova Retail Pvt Ltd,YCZUS5136U,17YCZUS5136U7ZZ,"H.No. 974, Chand Circle",312911,Siliguri,West Bengal,2017-07-28,2025-09-23,Finance
Omni Retail Industries,CRQVI7921F,28CRQVI7921F6ZF,"48, Kala Nagar",130925,New Delhi,Delhi,2011-10-28,2026-02-17,Food & Beverage
Omni Retail Solutions,ESXEJ1396J,06ESXEJ1396J1ZH,"77/05
Issac Ganj",698253,New Delhi,Delhi,2017-10-27,2020-02-25,Food & Beverage
Orion Services LLP,FOGLU9683K,23FOGLU9683K7ZB,"H.No. 535, Shere Road",121576,Mumbai,Maharashtra,2023-12-11,2024-06-24,Technology
Orion Services Pvt Ltd,XRFUX5993O,24XRFUX5993O1ZL,"H.No. 408, Sha Zila",157028,Coimbatore,Tamil Nadu,2014-11-21,2024-02-27,Manufacturing
Prime Infra Group,EYNWF9577L,06EYNWF9577L4ZM,"46
Tella Road",165315,Pune,Maharashtra,2014-12-31,2024-11-21,Food & Beverage
Prime Infra LLP,GLJMG5408S,29GLJMG5408S5ZX,"740, Bhakta Street",254287,Jaipur,Rajasthan,2014-02-15,2025-04-06,Healthcare
Prime Infra Pvt Ltd,XBBNR1200P,18XBBNR1200P7ZF,"53, Chandran Zila",562750,Vadodara,Gujarat,2011-09-23,2025-08-02,Retail
Prime Infra Solutions,TVDDK1670D,19TVDDK1670D3ZJ,"H.No. 91, Singhal",679081,Siliguri,West Bengal,2023-01-30,2026-04-03,Education
Quantum Finance Industries,QPSWT3277G,22QPSWT3277G2ZX,"10/441
Varma",376993,Udaipur,Rajasthan,2017-11-27,2025-03-07,Healthcare
Quantum Finance Industries,HEYAV9705B,26HEYAV9705B8ZW,"172, Zacharia Circle",284203,Madurai,Tamil Nadu,2021-01-31,2025-03-16,Technology
Quantum Finance LLP,EBIXZ7429Q,31EBIXZ7429Q1ZG,"10
Kant Path",299919,Ahmedabad,Gujarat,2019-03-16,2026-02-02,Healthcare
Quantum Finance LLP,RSNCV2035U,12RSNCV2035U1ZW,"00
Ravel Street",826673,Warangal,Telangana,2019-04-07,2026-03-12,Construction
