business_name,pan,gstin,address,pincode,district,state,registration_date,last_activity_date,department,business_status
Vertex Solutions Enterprises,RPIWK6623K,19RPIWK6623K3ZO,"H.No. 97
Uppal Marg",394277,Kolkata,West Bengal,05-02-2013,14-02-2026,Food & Beverage,Active
Orion Manufacturing Solutions,PDTOU5030L,38PDTOU5030L5ZZ,"H.No. 591
Sehgal",610060,New Delhi,Delhi,16-05-2015,22-01-2026,Finance,Active
BlueNova Retail Enterprises,JBWJZ2990U,22JBWJZ2990U9ZL,"071, Sekhon Street",288129,New Delhi,Delhi,03-08-2013,18-03-2015,Construction,Closed
Apex Technologies Solutions,QVPTF0285U,34QVPTF0285U6ZE,"01/364, Shankar Path",792183,Kolkata,West Bengal,21-10-2018,05-02-2026,Manufacturing,Active
Vertex Solutions Solutions,HGBGJ7133C,10HGBGJ7133C8ZJ,"13/250
Srivastava Nagar",709687,Siliguri,West Bengal,27-01-2018,04-08-2025,Healthcare,Dormant
Nova Finance LLP,VOZBQ1888C,34VOZBQ1888C6ZP,"968, Mani Circle",436439,Surat,Gujarat,28-05-2015,09-04-2026,Retail,Active
BlueNova Retail Industries,RXUSJ9551A,28RXUSJ9551A7ZT,"78/19, Sarna Ganj",486675,Warangal,Telangana,18-01-2022,04-05-2026,Logistics,Active
BlueNova Retail Industries,ZLVHK6128X,25ZLVHK6128X9ZY,"20/949
Thakkar Street",243237,Hyderabad,Telangana,22-05-2018,07-06-2024,Finance,Dormant
Zenith Healthcare Enterprises,UECLL4769D,11UECLL4769D6ZM,"H.No. 12, Taneja",175640,New Delhi,Delhi,14-06-2012,20-04-2026,Healthcare,Active
Skyline Foods Pvt Ltd,LJXLD1566R,34LJXLD1566R8ZP,"H.No. 85
Chaudry Road",341966,Pune,Maharashtra,09-10-2019,20-03-2024,Retail,Dormant
Titan Construction Solutions,DCCFF2527J,15DCCFF2527J9ZB,"H.No. 386, Bassi Path",3861,Ahmedabad,Gujarat,18-02-2021,25-08-2024,Technology,Closed
